,lat,lng,offense
571,45.5254,-122.701,Assault Offenses
572,45.5208,-122.533,Burglary
573,45.5286,-122.674,Larceny Offenses
574,45.5256,-122.692,Larceny Offenses
577,45.558,-122.637,Larceny Offenses
578,45.4661,-122.613,Burglary
580,45.5016,-122.61,Larceny Offenses
581,45.6037,-122.75,Larceny Offenses
582,45.5155,-122.572,Larceny Offenses
583,45.4615,-122.698,Larceny Offenses
584,45.5553,-122.682,Motor Vehicle Theft
585,45.5469,-122.535,Vandalism
588,45.5242,-122.676,Burglary
589,45.5886,-122.715,Burglary
592,45.5449,-122.634,Larceny Offenses
593,45.5762,-122.691,Larceny Offenses
594,45.5151,-122.674,Larceny Offenses
595,45.5319,-122.662,Larceny Offenses
596,45.5046,-122.489,Larceny Offenses
597,45.5211,-122.658,Larceny Offenses
598,45.5222,-122.658,Larceny Offenses
599,45.5204,-122.663,Larceny Offenses
600,45.5183,-122.692,Larceny Offenses
601,45.4948,-122.68,Larceny Offenses
602,45.4897,-122.542,Larceny Offenses
603,45.4882,-122.637,Larceny Offenses
604,45.4987,-122.679,Larceny Offenses
605,45.5827,-122.732,Larceny Offenses
606,45.5695,-122.686,Motor Vehicle Theft
607,45.5221,-122.632,Motor Vehicle Theft
608,45.4758,-122.651,Motor Vehicle Theft
609,45.5061,-122.502,Vandalism
610,45.5133,-122.678,Vandalism
611,45.5243,-122.65,Vandalism
612,45.5354,-122.708,Vandalism
613,45.5553,-122.682,Vandalism
614,45.5628,-122.693,Vandalism
615,45.5337,-122.601,Vandalism
616,45.5575,-122.521,Assault Offenses
618,45.5253,-122.671,Assault Offenses
622,45.5841,-122.692,Assault Offenses
623,45.5343,-122.662,Assault Offenses
626,45.5238,-122.677,Assault Offenses
627,45.5077,-122.685,Assault Offenses
628,45.5949,-122.738,Assault Offenses
629,45.509,-122.521,Arson
630,45.5888,-122.697,Arson
631,45.5246,-122.649,Arson
632,45.5246,-122.649,Arson
634,45.4698,-122.612,Burglary
635,45.4923,-122.484,Burglary
636,45.5248,-122.676,Burglary
637,45.5553,-122.682,Burglary
638,45.586,-122.734,Burglary
639,45.5218,-122.674,Counterfeiting/Forgery
640,45.5352,-122.623,Counterfeiting/Forgery
